证券代码,所属行业,上市时间,公司性质,实际控制人,控制人类型,聘请的会计师事务所,是否在境外上市,统计年度
300054.SZ,化学原料及化学制品制造业,2010/2/11,民营企业,,,天健正信会计师事务所有限公司,否,2013
300055.SZ,土木工程建筑业,2010/2/26,民营企业,,,大信会计师事务有限公司,否,2013
300056.SZ,专用设备制造业,2010/2/26,民营企业,罗祥波,国内自然人,天职国际会计师事务所有限公司,否,2013
300057.SZ,有色金属冶炼和压延加工业,2010/2/26,民营企业,,,立信会计师事务所有限公司,否,2013
300058.SZ,商务服务业,2010/2/26,民营企业,,,大信会计师事务有限公司,否,2013
300059.SZ,互联网和相关服务,2010/3/19,民营企业,,,天健正信会计师事务所有限公司,否,2013
300060.SZ,计算机、通信和其他电子设备制造业,2011/2/1,民营企业,,,天健会计师事务所有限公司,否,2013
300061.SZ,其他制造业,2010/3/19,民营企业,,,中勤万信会计师事务所有限公司,否,2013
300062.SZ,电气机械及器材制造业,2010/3/19,民营企业,周玉成,国内自然人,中瑞岳华会计师事务所有限公司,否,2013
300063.SZ,化学原料及化学制品制造业,2010/3/26,民营企业,,,深圳市鹏城会计师事务所有限公司,否,2013
300064.SZ,非金属矿物制品业,2010/3/26,民营企业,郭留希,国内自然人,上海众华沪银会计师事务所有限公司,否,2013
300065.SZ,计算机、通信和其他电子设备制造业,2010/3/26,民营企业,,,天健会计师事务所有限公司,否,2013
300066.SZ,仪器仪表制造业,2010/3/26,民营企业,李强祖,国内自然人,天健会计师事务所有限公司,否,2013
300067.SZ,化学原料及化学制品制造业,2010/4/21,民营企业,张烈寅,国内自然人,大信会计师事务有限公司,否,2013
300068.SZ,电气机械及器材制造业,2010/4/21,民营企业,周庆治,国外自然人,利安达会计师事务所有限责任公司,否,2013
300069.SZ,电气机械及器材制造业,2010/4/21,民营企业,,,天健正信会计师事务所有限公司,否,2013
300070.SZ,生态保护和环境治理业,2010/4/21,民营企业,,,京都天华会计师事务所有限公司,否,2013
300071.SZ,商务服务业,2010/4/21,民营企业,,,上海众华沪银会计师事务所有限公司,否,2013
300072.SZ,化学原料及化学制品制造业,2010/4/27,民营企业,,,中瑞岳华会计师事务所有限公司,否,2013
